,Tweet
52,@mileoooooo الله يرفع قدرك💐
53,"@alzym00973277 إنا لله وإنا إليه راجعون
 اللهم  ثبته عند السؤال ولقنه حجته وآنس وحشته وأغفر له وارحمه وعافه واعف عنه وأكرم نزله ووسع مدخله واغسله بالماء والثلج والبرد ونقه من الذنوب والخطايا وانزل على قبره ضياء ونور وفسحة وسرور و اجعل قبره روضة من رياض الجنة .

عظم الله اجركم واحسن عزائكم"
54,"لا تغرق نفسك في دائرة المعنى السلبي
ابحث عن الجانب الايجابي وركز عليه وتسعد👌 https://t.co/Ohv0uXCaFN"
55,@5q_ui 😂😂😂
56,@mileoooooo على عيني وراسي وانا امزح😁
57,@mileoooooo يمكن غيرك يشوفها طرفه  و انت نفسية😉
58,"@DAutWnHvLEHxW4A الخبر صحيح موب اشاعة
الاحد القادم تكون دخلت سنة 2022😄"
59,@5q_ui كثر خيرك ان احتجنا اتجهنا لك😂😂
60,"@MonMbs 😂😂😂😂😂
ماينلامون اذا عطس جنبي واحد في المسجد ودي اقطع الصلاة واغير مكاني😂😂"
61,@h____1____h الاحد السنة الجديده 2022 يعني كلامنا صحيح100٪
62,@Abdulrhman330 آمين وياك
63,@f2020sf2 لا تقتل المتعة يامسلم😂😂😂
64,"عاجل 🔴

تم تعليق الدراسة حتى نهاية العام 
وسيتم استئناف الدارسة في مطلع العام  المقبل 2022

إن شاء الله تعالى"
65,"@iiinf_8 بالعكس فكرتي عنهم جميلة وعندي بناتي عسل على قلبي
بس في الاسرار البنت ماتتحمل تكتم السر لازم تفرغ لاحد والاحد يفرغ لاخر وفي النهاية ينتشر بسرعة فائقة انتشار النار في الهشيم😂"
66,@almaha__321 😂😂😂
67,@Kmy1Kmy 😂😂😂
68,@A45969241 عندنا وقت الصلاة ماكان فيه مطر بدأ المطر بعد ماطلعنا من صلاة الفجر ب 15 دقيقة
69,@fahadalatar1 هلا وسهلا صباح النور والسرور
70,@APbpcySW0FOrtBf 😂😂😂
71,"يارب سلم سلم
يامقلب القلوب والابصار ثبت قلوبنا على طاعتك
 https://t.co/5tGXSJvlrj"
72,"أمطرت سيدة كل المدن أمطرت نجد العذيّة
#الرياض_الان
ماهو جو جلسة في البيت الجو يبي له قهوة وشاهي وتمشي وبعد صلاة الجمعة كشته على احد الشعبان اللي السيل يمشي فيها💕😍
 https://t.co/n5iJ2tmN3h"
73,@abuanas11131 ولا تبالي احسن ماتعيش في هم وغم😄
74,@mVjVSbyWRnY1056 القصير كنه مصور صورة 4 في 6 😂😂
75,@ks93536892 😂😂😂😂
76,اللهم اجعل والدنا وملكنا الملك سلمان ممن طال عمره وحسن عمله اللهم اطل عمره على طاعتك ووفقه لكل خير واجعل عمله في رضاك وانصره على من عاداه اللهم كن له عون ونصيرا ولعدوه هازماً ومهينا  #الملك_سلمان_86_سنه https://t.co/mwnhkhPWgO
77,"دورة مياه (اكرمكم الله)
اهم شي عندهم ماحد يشوف وجهك😂😂 https://t.co/hocik1TOaI"
78,@Borkan2002 ويحملونك جميل عبارة عن فلم قام ببطولته الحكومة اللبنانية عشان يوصلوا لك رسالة اننا نمنع تصدير المخدرات للخليج على هالاساس يجب ان تشكرونا وتمنحوننا الثقة ندخل بضائعنا😂😂
79,@sama_kh02 صاحب تجربة مريرة😂😂😂
80,@KSA_hail25 😂😂😂
81,@mohammed_AA_M صباح النور والسرور
82,@fsl2525 👌
83,@Raed2030otb 😂😂😂😂صادق
84,@Amal95112113 عليه افضل الصلاة والسلام وعلى اهله وصحبه ومن تبعه بإحسان الى يوم الدين
85,"يحبونه ومحتفلين بعيد ميلاده... 
أجل لو يكرهونه وش بيسون فيه؟‼️

 https://t.co/nYOpEbtYgr"
86,@SunbolahDesigns انعم واكرم يابومحمد رفع الله قدرك وسعدت بمرورك وتعليقك ولك جزيل الشكر💐
87,اذا زعلت عليك ونشرت ثيابك😂😂😂 https://t.co/k6bsUTC6Uo
88,متصادم مع بنت ودمرته بالمكياج😂😂 https://t.co/7gKJ4mhS5i
89,امحق وظيفة😂😂😂 https://t.co/F8pJ5yPJu3
90,لما تستعد للمخاطرة😂😂 https://t.co/YbSvNwmw4a
91,متضارب مع ابوجهل😂😂 https://t.co/XLMglP1E5e
92,قهوة حبشية😂😂 https://t.co/7YPqXTsMTC
93,سبحان مغير الأحوال😂😂😂 https://t.co/dlhLFnuukM
94,نصائح جميلة ومفيدة👌 https://t.co/vHc8LUPt53
95,اتفق😂😂 https://t.co/8Qyiv4daDz
96,هذا تحفيز بقسوة😂😂 https://t.co/WwESe3ypPP
97,هو صادق😂😂 https://t.co/nIeGwsor1d
98,هذا والله البلشة😂😂😂 https://t.co/hSILSlClg1
99,لا تبيع البيض على سلاقينه😂😂 https://t.co/xYA40vs5RS
